OBJECTID,sa1no,metroariac,metroarian,ma_edu,ma_edu_n,ma_fpost,ma_fpost_n,ma_hlth,ma_hlth_n,ma_ptrans,ma_ptransn,ma_shop,ma_shop_n,ucl_code,ucl_name,Shape_Leng,Shape_Area,Suburb_Name
18451,30101100101,3,Moderate Accessibility,4,Low Accessibility,5,Limited Accessibility,3,Moderate Accessibility,2,High Accessibility,3,Moderate Accessibility,301001,Brisbane,0.032404224,2.60886E-05,Alexandra Hills
18452,30101100102,3,Moderate Accessibility,4,Low Accessibility,4,Low Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.017255417,1.27029E-05,Alexandra Hills
18453,30101100103,4,Low Accessibility,4,Low Accessibility,5,Limited Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,2,High Accessibility,301001,Brisbane,0.066032639,0.000123153,Alexandra Hills
18454,30101100104,4,Low Accessibility,4,Low Accessibility,4,Low Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,301001,Brisbane,0.020956802,1.91721E-05,Alexandra Hills
18455,30101100105,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.048394747,8.49326E-05,Alexandra Hills
18456,30101100106,4,Low Accessibility,4,Low Accessibility,4,Low Accessibility,3,Moderate Accessibility,4,Low Accessibility,2,High Accessibility,301001,Brisbane,0.013801029,0.000008617,Alexandra Hills
18457,30101100107,4,Low Accessibility,4,Low Accessibility,4,Low Accessibility,3,Moderate Accessibility,4,Low Accessibility,2,High Accessibility,301001,Brisbane,0.015795152,1.08294E-05,Alexandra Hills
18458,30101100108,4,Low Accessibility,4,Low Accessibility,4,Low Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,301001,Brisbane,0.016335689,1.48281E-05,Alexandra Hills
18459,30101100109,2,High Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.028774546,4.8786E-05,Alexandra Hills
18460,30101100110,3,Moderate Accessibility,4,Low Accessibility,4,Low Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.015254952,1.43899E-05,Alexandra Hills
18461,30101100111,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.019761056,1.71919E-05,Alexandra Hills
18462,30101100112,2,High Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,2,High Accessibility,1,Very High Accessibility,301001,Brisbane,0.014119983,8.99645E-06,Alexandra Hills
18463,30101100113,2,High Accessibility,3,Moderate Accessibility,2,High Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.011606528,8.57289E-06,Alexandra Hills
18464,30101100114,2,High Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.017386724,1.51366E-05,Alexandra Hills
18465,30101100115,2,High Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,2,High Accessibility,2,High Accessibility,301001,Brisbane,0.018637067,1.69284E-05,Alexandra Hills
18466,30101100116,2,High Accessibility,3,Moderate Accessibility,2,High Accessibility,3,Moderate Accessibility,2,High Accessibility,1,Very High Accessibility,301001,Brisbane,0.022107216,2.84308E-05,Alexandra Hills
18467,30101100117,2,High Accessibility,3,Moderate Accessibility,2,High Accessibility,3,Moderate Accessibility,2,High Accessibility,1,Very High Accessibility,301001,Brisbane,0.018608649,2.089E-05,Alexandra Hills
18468,30101100118,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,3,Moderate Accessibility,2,High Accessibility,1,Very High Accessibility,301001,Brisbane,0.023475584,1.58523E-05,Alexandra Hills
