Suburb,Postcode,Lat,Lng
BRISBANE,4000,-27.46758,153.027892
BRISBANE ADELAIDE STREET,4000,-27.46758,153.027892
BRISBANE GPO,4000,-27.46758,153.027892
SPRING HILL,4000,-27.46758,153.027892
BRISBANE,4001,-27.603479,152.823141
CENTRAL PLAZA,4001,-27.603479,152.823141
RIVERSIDE CENTRE,4001,-27.603479,152.823141
WATERFRONT PLACE,4001,-27.603479,152.823141
GEORGE STREET,4003,-24.872431,152.348462
SPRING HILL,4004,-24.045265,149.316593
NEW FARM,4005,-27.467878,153.047052
BOWEN HILLS,4006,-27.444163,153.038407
FORTITUDE VALLEY,4006,-27.444163,153.038407
FORTITUDE VALLEY BC,4006,-27.444163,153.038407
HERSTON,4006,-27.444163,153.038407
NEWSTEAD,4006,-27.444163,153.038407
ASCOT,4007,-27.43027,153.058679
HAMILTON,4007,-27.43027,153.058679
HAMILTON CENTRAL,4007,-27.43027,153.058679
PINKENBA,4008,-27.42257,153.118782
EAGLE FARM,4009,-27.430729,153.091148
EAGLE FARM BC,4009,-27.430729,153.091148
ALBION,4010,-27.428026,153.045205
ALBION BC,4010,-27.428026,153.045205
ALBION DC,4010,-27.428026,153.045205
CLAYFIELD,4011,-27.417536,153.056677
HENDRA,4011,-27.417536,153.056677
NUNDAH,4012,-27.40344,153.060428
TOOMBUL,4012,-27.40344,153.060428
WAVELL HEIGHTS,4012,-27.40344,153.060428
WAVELL HEIGHTS NORTH,4012,-27.40344,153.060428
NORTHGATE,4013,-27.389718,153.066343
BANYO,4014,-27.375825,153.076469
NUDGEE,4014,-27.375825,153.076469
NUDGEE BEACH,4014,-27.375825,153.076469
VIRGINIA,4014,-27.375825,153.076469
VIRGINIA BC,4014,-27.375825,153.076469
VIRGINIA DC,4014,-27.375825,153.076469
BRACKEN RIDGE,4017,-27.327545,153.025938
BRIGHTON,4017,-27.327545,153.025938
BRIGHTON EVENTIDE,4017,-27.327545,153.025938
BRIGHTON NATHAN STREET,4017,-27.327545,153.025938
DEAGON,4017,-27.327545,153.025938
SANDGATE,4017,-27.327545,153.025938
SANDGATE DC,4017,-27.327545,153.025938
SHORNCLIFFE,4017,-27.327545,153.025938
FITZGIBBON,4018,-27.349074,153.031804
TAIGUM,4018,-27.349074,153.031804
CLONTARF,4019,-27.25958,153.08211
CLONTARF BEACH,4019,-27.25958,153.08211
CLONTARF DC,4019,-27.25958,153.08211
MARGATE,4019,-27.25958,153.08211
MARGATE BEACH,4019,-27.25958,153.08211
WOODY POINT,4019,-27.25958,153.08211
NEWPORT,4020,-27.231153,153.115686
